City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa ana de yacuma,-13.75,-65.4333,80.55,83,75,11.5,BO,1733585552
1,edinburgh of the seven seas,-37.0676,-12.3116,60.37,89,84,18.7,SH,1733585553
2,imbituba,-28.24,-48.6703,66.99,94,100,10.87,BR,1733585554
3,peace river,56.2501,-117.286,30.65,98,100,11.5,CA,1733585555
4,port-aux-francais,-49.35,70.2167,41.5,77,87,16.58,TF,1733585556
5,badger,64.8,-147.5333,14.36,88,75,3.44,US,1733585557
6,papatowai,-46.5619,169.4708,54.16,95,100,7.18,NZ,1733585560
7,bethel,41.3712,-73.414,35.69,58,100,11.5,US,1733585531
8,anjozorobe,-18.4,47.8667,70.3,63,4,8.93,MG,1733585562
9,hermanus,-34.4187,19.2345,72.81,67,6,8.08,ZA,1733585563
10,waitangi,-43.9535,-176.5597,49.82,93,3,10.22,NZ,1733585564
11,mahibadhoo,3.7833,72.9667,82.83,66,2,3.11,MV,1733585565
12,iskateley,67.6803,53.1512,12.49,95,81,9.98,RU,1733585566
13,kidal,18.4411,1.4078,76.55,9,2,16.06,ML,1733585568
14,whitehorse,60.7161,-135.0538,12.97,85,0,5.75,CA,1733585569
15,thompson,55.7435,-97.8558,5.16,85,100,4.61,CA,1733585337
16,tiksi,71.6872,128.8694,-6.05,98,99,6.62,RU,1733585571
17,opuwo,-18.0607,13.84,96.48,10,93,11.86,NA,1733585572
18,keflavik,64.0049,-22.5624,28.83,69,75,3.44,IS,1733585573
19,jember,-8.166,113.7032,75.15,95,100,2.19,ID,1733585574
20,tolanaro,-25.0319,46.9987,86.07,54,0,13.8,MG,1733585575
21,fenoarivo be,-18.4333,46.5667,78.17,56,47,2.98,MG,1733585576
22,blackmans bay,-43.0167,147.3167,53.73,79,49,1.01,AU,1733585578
23,kununurra,-15.7667,128.7333,80.58,94,100,5.75,AU,1733585579
24,isafjordur,66.0755,-23.124,21.24,68,0,0.0,IS,1733585580
25,port alfred,-33.5906,26.891,74.17,78,31,8.99,ZA,1733585581
26,ushuaia,-54.8,-68.3,46.06,66,75,4.61,AR,1733585573
27,ribeira grande,38.5167,-28.7,68.77,88,20,9.22,PT,1733585583
28,terrasson-lavilledieu,45.1301,1.3014,45.1,80,100,13.69,FR,1733585584
29,yavuzeli,37.3177,37.5682,50.04,63,100,5.03,TR,1733585585
30,bridlington,54.0831,-0.1919,48.02,65,81,11.01,GB,1733585586
31,lobito,-12.3481,13.5456,80.58,80,51,5.61,AO,1733585588
32,bodo,67.28,14.405,42.84,61,75,11.5,NO,1733585327
33,leczna,51.3012,22.8814,35.91,93,100,6.91,PL,1733585590
34,avarua,-21.2078,-159.775,77.05,100,75,13.8,CK,1733585591
35,new norfolk,-42.7826,147.0587,52.72,77,75,11.77,AU,1733585592
36,blythe,33.6103,-114.5964,45.05,31,0,3.44,US,1733585593
37,stanley,54.868,-1.6985,41.05,94,75,32.21,GB,1733585594
38,muromtsevo,56.3724,75.2418,-0.83,99,83,4.81,RU,1733585596
39,nova sintra,14.8667,-24.7167,78.49,69,77,15.68,CV,1733585597
40,krasnovishersk,60.4078,57.082,13.21,97,100,3.24,RU,1733585599
41,suntar,62.1444,117.6319,1.04,90,36,8.52,RU,1733585600
42,gadzhiyevo,69.2551,33.3362,27.54,86,77,21.32,RU,1733585601
43,port elizabeth,-33.918,25.5701,74.32,77,20,14.97,ZA,1733585602
44,margaret river,-33.95,115.0667,56.21,77,0,12.97,AU,1733585603
45,choyr,46.3611,108.3611,7.72,92,6,1.3,MN,1733585605
46,bredasdorp,-34.5322,20.0403,71.01,53,43,10.04,ZA,1733585607
47,navarre,30.4016,-86.8636,48.22,40,0,10.36,US,1733585534
48,san patricio,28.017,-97.5169,49.95,71,100,14.97,US,1733585609
49,chibougamau,49.9168,-74.3659,4.62,85,100,11.5,CA,1733585610
50,yellowknife,62.456,-114.3525,14.56,97,100,8.05,CA,1733585611
51,olonkinbyen,70.9221,-8.7187,22.41,76,99,29.08,SJ,1733585613
52,albany,42.6001,-73.9662,31.41,68,65,1.01,US,1733585578
53,callao,-12.0667,-77.15,68.29,77,40,8.05,PE,1733585615
54,adamstown,-25.066,-130.1015,72.64,79,55,19.48,PN,1733585616
55,kruisfontein,-34.0033,24.7314,70.03,63,9,10.92,ZA,1733585617
56,saipan,15.1355,145.701,83.1,75,40,14.97,MP,1733585523
57,canovanas,18.3777,-65.9063,87.24,71,40,11.5,PR,1733585619
58,kargasok,59.0556,80.8572,6.04,95,93,6.96,RU,1733585620
59,dawson creek,55.7666,-120.2362,40.64,65,20,4.61,CA,1733585621
60,crane,31.3974,-102.3501,45.63,80,100,7.94,US,1733585623
61,bamboo flat,11.7,92.7167,82.49,69,75,8.05,IN,1733585624
62,ouesso,1.6136,16.0517,87.55,48,86,2.48,CG,1733585625
63,atafu village,-8.5421,-172.5159,81.86,79,38,12.8,TK,1733585626
64,sitka,57.0531,-135.33,42.69,81,100,3.44,US,1733585627
65,taroa,8.7058,171.2275,82.31,80,84,22.57,MH,1733585628
66,neftcala,39.3742,49.2472,54.61,71,96,9.22,AZ,1733585629
67,iqaluit,63.7506,-68.5145,11.93,72,100,11.5,CA,1733585412
68,west island,-12.1568,96.8225,80.58,74,75,14.97,CC,1733585631
69,cabo san lucas,22.8909,-109.9124,70.11,49,75,4.61,MX,1733585633
70,qaqortoq,60.7167,-46.0333,30.56,92,100,13.85,GL,1733585634
71,kandiari,26.9156,68.5216,68.83,17,0,4.59,PK,1733585635
72,natal,-5.795,-35.2094,86.65,62,75,16.11,BR,1733585448
73,fale old settlement,-9.3852,-171.2468,82.98,78,67,15.88,TK,1733585637
74,lisala,2.15,21.5167,81.75,56,79,1.52,CD,1733585638
75,nsanje,-16.92,35.262,94.68,35,100,8.9,MW,1733585639
76,axim,4.8699,-2.2405,83.61,66,85,8.16,GH,1733585640
77,olinda,-8.0089,-34.8553,83.93,70,75,12.66,BR,1733585642
78,machico,32.7,-16.7667,72.72,82,40,12.66,PT,1733585643
79,morondava,-20.2833,44.2833,82.92,74,98,14.38,MG,1733585644
80,port lincoln,-34.7333,135.8667,58.01,76,0,8.88,AU,1733585645
81,carutapera,-1.195,-46.02,81.75,72,100,6.55,BR,1733585646
82,georgetown,5.4112,100.3354,85.95,78,20,3.44,MY,1733585410
83,invercargill,-46.4,168.35,56.01,87,100,4.81,NZ,1733585648
84,klyuchi,52.2667,79.1667,17.19,96,100,6.08,RU,1733585649
85,lebu,-37.6167,-73.65,59.27,59,1,17.78,CL,1733585464
86,luderitz,-26.6481,15.1594,74.93,58,20,27.74,NA,1733585652
87,nizhnesortymskiy,62.4397,71.7603,-6.81,100,52,6.49,RU,1733585653
88,udachny,66.4167,112.4,-3.64,94,98,11.07,RU,1733585654
89,la passe,45.5549,-0.8967,49.62,65,98,33.11,FR,1733585655
90,novodvinsk,64.4165,40.8122,22.75,93,92,6.33,RU,1733585656
91,nadi,-17.8,177.4167,75.2,88,20,2.3,FJ,1733585657
92,olavarria,-36.8927,-60.3225,64.92,29,4,13.82,AR,1733585497
93,mochudi,-24.4167,26.15,106.39,12,87,8.1,BW,1733585659
94,pisco,-13.7,-76.2167,68.05,83,22,8.05,PE,1733585640
95,greenville,35.6127,-77.3663,39.22,41,0,5.01,US,1733585663
96,gorodets,56.6514,43.475,21.58,93,100,12.21,RU,1733585665
97,xichang,27.8964,102.2634,44.83,92,97,2.68,CN,1733585666
98,afaahiti,-17.75,-149.2833,78.01,81,98,20.8,PF,1733585667
99,narathiwat,6.3333,101.75,76.06,93,100,2.84,TH,1733585668
100,dwarka,22.2394,68.9678,76.06,51,81,8.88,IN,1733585671
101,dudinka,69.4058,86.1778,-0.24,98,100,7.18,RU,1733585672
